机场,CHINESENAME,ENGLISH,CHCOUNTRY,ENGCOUNTRY,城 市
ATH,雅典,ATHENS,希腊,GREECE,ATH
ATL,亚特兰大,ATLANTA,美国,USA,ATL
ATQ,阿姆利则,AMRITSAR,印度,INDIA,ATQ
ATR,阿塔尔,ATAR,毛里塔尼亚,MAURITANIA,ATR
ATW,阿普雷顿,APPLETON,美国,USA,ATW
ATY,瓦特镇,WATERTOWN,美国,USA,ATY
AUA,阿鲁巴,ARUBA,阿拉伯,ARUBA,AUA
AUG,奥古斯达,AUGUSTA,美国,USA,AUG
AUH,雅布达比,ABU DHABI,阿联酋,UAE,AUH
AUS,奥斯丁,AUSTIN,美国,USA,AUS
AUX,阿拉奎亚,ARAGUAIA,巴西,BRAZIL,AUX
AVI,谢哥阿维拉,CIEGO DE AVILA,古巴,CUBA,AVI
AVL,阿什维尔,ASHEVILLE,美国,USA,AVL
AVN,亚威农,AVIGNON,法国,FRANCE,AVN
AXA,安奎拉,ANGUILLA,背风群岛,LEEWARD ISLAND,AXA
AXM,阿尔民尼亚,ARMENIA,哥伦比亚,COLOMBIA,AXM
AXT,秋田,AKITA,日本,JAPAN,AXT
AYP,阿亚库乔,AYACUCHO,秘鲁,PERU,AYP
AYQ,埃尔石,AYERS ROCK,澳洲,AUSTRALIA,AYQ
AYT,安塔利亚,ANTALYA,土耳其,TURKEY,AYT
AZD,雅兹德,YAZD,伊朗,IRAN,AZD
AZN,安迪山,ANDIZHAN,乌兹别克,UZBEKISTAN,AZN
AZO,卡拉马索,KALAMAZOO,美国,USA,AZO
AZR,阿得拉,ADRAR,阿尔及利亚,ALGERIA,AZR
BAG,碧瑶,BAGUIO,菲律宾,PHILIPPINES,BAG
BAH,巴林,BAHRAIN,巴林,BAHRAIN,BAH
BAK,巴库,BAKU,苏联,AZERBAIJAN,BAK
BAQ,巴兰基拉,BARRANQUILLA,哥伦比亚,COLOMBIA,BAQ
BAV,包头,BAOTOU,中国,CHINA,BAV
BAX,巴纳尼,BARNAUL,俄罗斯,RUSSIAN,BAX
BBM,马德望,BATTAMBANG,柬埔寨,CAMBODIA,BBM
BBO,柏培拉,BERBERA,索马里,SOMALIA,BBO
BBQ,巴布达,BARBUDA,背风群岛,LEEWARD IS,BBQ
BBR,巴斯特尔,BASSE TERRE,瓜德罗普,GUADELOUPE,BBR
BBU,布加勒斯特,BUCHAREST,罗马尼亚,ROMANIA,BBU
BCA,巴拉果亚,BARACOA,古巴,CUBA,BCA
BCD,巴哥洛,BACOLOD,菲律宾,PHILIPPINES,BCD
BCI,巴格甸,BARCALDINE,澳洲,AUSTRALIA,BCI
BCN,巴赛隆拿,BARCELONA,西班牙,SPAIN,BCN
BDA,百慕达,BERMUDA,百慕达,BERMUDA,BDA
BDB,班达堡,BUNDABERG,澳洲,AUSTRALIA,BDB
BDJ,马辰,BANJARMASIN,印尼,INDONESIA,BDJ
BDO,万隆,BANDUNG,印尼,INDONESIA,BDO
BDR,布列治港,BRIDGEPORT,美国,USA,BDR
BDS,布尔的西,BRINDISI,意大利,ITALY,BDS
BEF,蓝田,BLUEFIELDS,尼加拉瓜,NICARAGUA,BEF
BEG,贝尔格莱德,BELGRADE,南斯拉夫,YUGOSLAVIA,BEG
BEH,本顿港,BENTON HARBOR,美国,USA,BEH
BEJ,贝劳,BERAU,印尼,INDONESIA,BEJ
BEL,贝伦,BELEM,巴西,BRAZIL,BEL
BEO,纽卡塞尔,NEWCASTLE,澳洲,AUSTRALIA,BEO
BER,柏林,BERLIN,德国,GERMANY,BER
BES,布勒斯特,BREST,法国,FRANCE,BES
BEW,贝拉,BEIRA,莫桑比克,MOZAMBIQUE,BEW
BEY,贝鲁特,BEIRUT,黎巴嫩,LEBANON,BEY
BFL,巴克斯菲尔,BAKERSFIELD,美国,USA,BFL
BFN,布隆方丹,BLOEMFONTEIN,南非,S AFRICA,BFN
BFS,贝尔法斯特,BELFAST,英国,UK,BFS
BFU,蚌埠,BENGBU,中国,CHINA,BFU
BGA,布卡拉曼加,BUCARAMANGA,哥伦比亚,COLOMBIA,BGA
BGF,班吉,BANGUI,中非共和国,CEN AFR REP,BGF
BGI,巴巴多斯,BARBADOS,巴巴多斯,BARBADOS,BGI
BGM,宾罕顿,BINGHAMTON,美国,USA,BGM
BGO,卑尔根,BERGEN,挪威,NORWAY,BGO
BGR,邦哥尔,BANGOR,美国,USA,BGR
BHD,贝尔法斯特,BELFAST,英国,UK,BHD
BHE,布兰赫姆,BLENHEIM,新西兰,NEW ZEALAND,BHE
BHH,比沙,BISHA,沙地阿拉伯,SAUDI ARABIA,BHH
BHI,布兰卡湾,BAHIA BLANCA,阿根廷,ARGENTINA,BHI
BHJ,布季,BHUJ,印度,INDIA,BHJ
BHK,布哈拉,BUKHARA,乌兹别克,UZBEKISTAN,BHK
BHM,伯明汉,BIRMINGHAM,美国,USA,BHM
BHO,博柏尔,BHOPAL,印度,INDIA,BHO
BHQ,布罗肯希尔,BROKEN HILL,澳洲,AUSTRALIA,BHQ
BHS,巴妥斯特,BATHURST,澳洲,AUSTRALIA,BHS
BHU,包纳加尔,BHAVANAGAR,印度,INDIA,BHU
BHX,伯明汉,BIRMINGHAM,英国,U.K.,BHX
BHY,北海,BEIHAI,中国,CHINA,BHY
